Authors,Genres,Number Of Books
Glen Downey,"collections,drama,readers,readers (elementary),sports,adaptation,anglais (langue),animals,animaux,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),nature,plantes,plants,readers,readers (elementary),technology, transportation, non-fiction, children's literature,sports, scandals, non-fiction,history, adventure and adventurers, juvenile literature,sports, history, adventure, memoir",7
Sean Donaghey,"food,juvenile poetry,action and adventure, fantasy, friendship, mystery and detective stories",2
Lisa Cheung,"anglais (langue),comedians,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),readers,readers (elementary),environmental protection, animals, nature, ecology",2
TRISH HURLEY,"astronauts,cartoonists,hockey,hockey players,women athletes",1
Jennifer Meghan Jenkins,"birds,list,bird,animals,dangerous animals,adventure, animals, mystery and detective stories",2
A Noel Lim,"anglais (langue),diseases,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),readers,readers (elementary),martial arts, adventure, extreme sports, action and adventure",1
Dave Suchanek,"anglais (langue),hip-hop,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),readers,readers (elementary)",1
Cathy Marks Krpan,"athletes,biography,readers,readers (elementary),women athletes",1
Jack Booth,"anglais (langue),curiosities and wonders,lectures et morceaux choisis,readers,readers (secondary),england,martial arts,philosophy,zen buddhism,africa,history,politics and government,accelerated reader,comic books,pirates,strips,nature and animals, adventure and adventurers, childrens stories, marine animals, survival,adventure, inventions, accidental, juvenile literature, history,war stories, historical, adventure, suspense",7
Christopher J Reaume,"histoire,history,juvenile literature,ouvrages pour la jeunesse,rivers,social aspects",1
Derek Mascarenhas & Shantala Robinson,"anglais (langue),lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),natural disasters,readers,readers (elementary), cooking, food,foods",1
Bonnie Bader,"biography,women,animals,franklin (fictitious character : bourgeois),pets,selection,specimens,toy and movable books,turtles",2
Anna Claybourne,"counting,counting books,monsters,schools,show-and-tell presentations,animals,curiosities and wonders,encyclopedias,food,human body,human physiology,insects,juvenile literature,miscellanea,reference,science",2
