Genre,Count,93416 divded
juvenile literature,4437,21.05386522
friendship,4280,21.82616822
adventure,2247,41.57365376
adventure and adventurers,2010,46.47562189
fantasy,1660,56.2746988
animals,1480,63.11891892
humorous stories,1387,67.35111752
picture books,1131,82.5959328
history,1008,92.67460317
mystery and detective stories,870,107.3747126
romans,833,112.1440576
nouvelles,796,117.3567839
general,703,132.8819346
etc. pour la jeunesse,682,136.973607
children's stories,673,138.8053492
childrens stories,660,141.5393939
schools,660,141.5393939
humor,651,143.4961598
magic,615,151.895935
large type books,599,155.9532554
family life,560,166.8142857
new york times bestseller,542,172.3542435
biography,484,193.0082645
ficción juvenil,476,196.2521008
spanish language materials,472,197.9152542
adventure stories,403,231.8014888
historical,323,289.2136223
pictorial works,323,289.2136223
family,321,291.0155763
brothers and sisters,320,291.925
comic books,314,297.5031847
graphic novels,290,322.1241379
juvenile,289,323.2387543
educational,288,324.3611111
children's literature,283,330.0918728
fiction,280,333.6285714
science,268,348.5671642
strips,254,367.7795276
social themes,248,376.6774194
girls,242,386.0165289
mystery,235,397.5148936
stories in rhyme,233,400.9270386
picture books for children,229,407.930131
dogs,228,409.7192982
families,225,415.1822222
cartoons and comics,216,432.4814815
readers,213,438.57277
novela juvenil,211,442.7298578
ouvrages pour la jeunesse,211,442.7298578
action & adventure,211,442.7298578
siblings,210,444.8380952
survival,204,457.9215686
school stories,203,460.1773399
open library staff picks,196,476.6122449
horror stories,190,491.6631579
education,182,513.2747253
monsters,182,513.2747253
orphans,180,518.9777778
sports,178,524.8089888
american literature,177,527.7740113
children,177,527.7740113
african americans,174,536.8735632
detective and mystery stories,170,549.5058824
literature,170,549.5058824
books and reading,165,566.1575758
toy and movable books,163,573.1042945
new york times reviewed,161,580.2236025
cats,159,587.5220126
england,157,595.0063694
reading level-grade 12,155,602.683871
reading level-grade 11,153,610.5620915
etc.,148,631.1891892
reading level-grade 8,146,639.8356164
young adult,143,653.2587413
canada,141,662.5248227
english,140,667.2571429
nature,139,672.057554
suspense,139,672.057554
english language,138,676.9275362
romance,138,676.9275362
juvenile works,138,676.9275362
childrens literature,137,681.8686131
boys,136,686.8823529
comics & graphic novels,136,686.8823529
reading level-grade 10,134,697.1343284
american,134,697.1343284
mice,134,697.1343284
conduct of life,131,713.0992366
action and adventure,131,713.0992366
dinosaurs,131,713.0992366
dragons,129,724.1550388
reading level-grade 9,127,735.5590551
mathematics,125,747.328
livres d'images pour enfants,124,753.3548387
histoire,123,759.4796748
time travel,123,759.4796748
reading level-grade 7,123,759.4796748
horror tales,121,772.0330579
specimens,120,778.4666667
ghosts,120,778.4666667
fairy tales,119,785.0084034
english literature,119,785.0084034
amistad,118,791.6610169
supernatural,116,805.3103448
behavior,116,805.3103448
amitié,116,805.3103448
united states,114,819.4385965
spanish language,113,826.6902655
novela,112,834.0714286
social life and customs,112,834.0714286
bears,111,841.5855856
mystery & detective,110,849.2363636
award:newbery_award,110,849.2363636
horror,108,864.962963
poetry,105,889.6761905
sisters,104,898.2307692
interpersonal relations,103,906.9514563
non-fiction,103,906.9514563
voyages and travels,102,915.8431373
ghost stories,101,924.9108911
short stories,101,924.9108911
science fiction,101,924.9108911
thrillers,99,943.5959596
newbery medal,99,943.5959596
