#,Call No,Title,Authors,Barcode,Price,Status,Date Created,Genre
1,001.9 SHA,001.9 : Monsters!,,30385038516508,$10.00,Missing,"2020,04,25","birth,cities and towns,death,divorce,hospitals,infants,marriage,names,population,race,statistics"
9,Top 10,The 10 Best Superfoods,Glen Downey,30385038518962,$20.00,In,"2020,04,26","collections,drama"
18,428.6 DON,The 10 funniest people,Sean Donaghey,30385038516310,$18.50,In,"2020,04,26","food,juvenile poetry"
19,LIS,The 10: Greatest 21st Century Innovations,Lisa Cheung,30385038517214,$0.00,In,"2020,04,25","anglais (langue),comedians,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),readers,readers (elementary)"
23,428.6,THE 10 GREATEST HOOP HEROES,TRISH HURLEY,30385038520933,$1.00,In,"2020,04,26","astronauts,cartoonists,hockey,hockey players,women athletes"
26,080 DOW,The 10 Greatest Sports Showdowns,Glen Downey,30385038516349,$14.99,In,"2020,04,26","readers,readers (elementary),sports"
33,JEN,The 10: Most Amazing Birds,Jennifer Meghan Jenkins,30385038517224,$0.00,In,"2020,04,26",bedtime
60,428.6 SUC,The 10 Most Influential Speeches In World History,Dave Suchanek,30385038516317,$18.50,In,"2020,04,26","anglais (langue),hip-hop,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),readers,readers (elementary)"
70,624.1 KRP,The 10 Most Phenomenal Modern Buildings,Cathy Marks Krpan,30385038516337,$19.00,In,"2020,04,25","athletes,biography,readers,readers (elementary),women athletes"
87,BIG MAG,10 Most Wondrous Ancient Sites,,30385038516327,$0.00,In,"2020,04,26","anglais (langue),lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),naufrages,readers,readers (elementary),shipwrecks"
88,JAC,The 10: Mosting Amazing Migrations,Jack Booth,30385038517218,$0.00,In,"2020,04,26","anglais (langue),curiosities and wonders,lectures et morceaux choisis,readers,readers (secondary)"
90,CHR,The 10: Smartest Adaptations in Nature,Christopher J. Reaume,30385038517231,$0.00,Out,"2020,04,26","histoire,history,juvenile literature,ouvrages pour la jeunesse,rivers,social aspects"
91,GLE,The 10: Smartest Animals,Glen Downey,30385038517221,$0.00,In,"2020,04,25","adaptation,anglais (langue),animals,animaux,lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),nature,plantes,plants,readers,readers (elementary)"
95,PB MAS,100 Chapatis,Derek Mascarenhas & Shantala Robinson,30385000001574,$0.00,In,"2023,12,06","anglais (langue),lectures et morceaux choisis,lectures et morceaux choisis (enseignement primaire),natural disasters,readers,readers (elementary)"
97,E BAD,100 Monsters in my School,Bonnie Bader,30385038517371,$5.00,In,"2020,04,25","biography,women"
98,031.02 CLA,100 Most Disgusting Things On The Planet,Anna Claybourne,30385038517578,$10.00,In,"2020,04,26","counting,counting books,monsters,schools,show-and-tell presentations"
99,032.02 CLA,100 Most Indestructible Things on the Planet,Anna. Claybourne,30385038520407,$10.00,In,"2020,04,26","animals,curiosities and wonders,encyclopedias,food,human body,human physiology,insects,juvenile literature,miscellanea,reference,science"
101,793.8 THO,100% Pure Fake: Gross Out Your Friends and Family with 25 Great Special Effects!,Lyn Thomas,30385038518041,$16.95,In,"2020,04,26","experiments,juvenile literature,science"
104,613.6/9 GRE,100 things you should know about extreme survival,Jen. Green,30385038520410,$25.00,In,"2020,04,25","animals,dangerous animals,juvenile literature,miscellanea"
105,355.0092/2 MAL,100 things you should know about warriors,John Malam,30385038520411,$25.00,In,"2020,04,26","juvenile literature,warrior,warriors,medieval,history"
110,E MAS,1001 Knights and Castle Things to Spot,Hazel Maskell,30385038518239,$12.00,In,"2020,04,25","jokes,juvenile literature,wit and humor"
111,E DOH,1001 Wizard Things to Spot,Gill Doherty,30385038518265,$12.00,In,"2020,04,25","castles,games,juvenile literature,knights and knighthood,manners and customs,middle ages,pictorial works,picture puzzles,puzzles,wizard,wizardry"
115,507.8 ARD,101 great science experiments : a step-by-step guide,Neil. Ardley,30385038513510,$10.00,In,"2020,04,26","exercises,life skills,mass media,problems,social sciences"
118,E OFF,11 experiments that failed,Jenny Offill,30385038519058,$19.00,In,"2020,04,25","birthdays,friendship,interpersonal relations,time"
119,305.42 SIN,111 trees : how one village celebrates the birth of every girl,Rina Singh,30385000000575,$0.00,In,"2022,01,24","children,experiments,humorous stories,picture books for children,science"
123,E MUL,13 ghosts of Halloween,Robin. Muller,30385038515462,$6.99,In,"2020,04,26","art,artists,juvenile literature,miscellanea,painting"
125,759 HEI,13 painters children should know,Florian. Heine,30385038518885,$17.00,In,"2020,04,26",birthdays
126,F GRI,The 13-Story Treehouse,Andy Griffiths,30385038520291,$6.99,In,"2020,04,26","juvenile literature,tree houses,fantasy, childrens books,friendship"
128,F O'D,The 13th Sign,Kristin O'Donnell Tubb,30385000001347,$0.00,In,"2023,10,24","4th grade,birds,dogs,juvenile literature,reading list,vocabulary,words"
